,FID,Id,lat,lon
789,789,0,33.95,111.45
790,790,0,33.95,111.55
791,791,0,33.95,111.65
792,792,0,33.95,111.75
793,793,0,33.95,111.85
794,794,0,33.95,111.95
795,795,0,33.95,112.05
796,796,0,33.95,112.15
797,797,0,33.95,112.25
798,798,0,33.95,112.35
799,799,0,33.95,112.45
800,800,0,33.95,112.55
801,801,0,33.95,112.65
802,802,0,33.95,112.75
803,803,0,33.95,112.85
804,804,0,33.95,112.95
805,805,0,33.95,113.05
806,806,0,33.95,113.15
807,807,0,33.95,113.25
808,808,0,33.95,113.35
809,809,0,33.95,113.45
810,810,0,33.95,113.55
811,811,0,33.95,113.65
812,812,0,33.95,113.75
813,813,0,33.95,113.85
814,814,0,33.95,113.95
815,815,0,33.95,114.05
816,816,0,33.95,114.15
817,817,0,33.95,114.25
818,818,0,33.95,114.35
819,819,0,33.95,114.45
820,820,0,33.95,114.55
821,821,0,33.95,114.65
822,822,0,33.95,114.75
823,823,0,33.95,114.85
824,824,0,33.95,114.95
825,825,0,33.95,115.05
826,826,0,33.95,115.15
827,827,0,33.95,115.25
828,828,0,33.95,115.35
829,829,0,33.95,115.45
830,830,0,33.95,115.55
831,831,0,33.95,116.05
832,832,0,33.95,116.15
833,833,0,33.95,116.25
834,834,0,33.95,116.35
835,835,0,33.95,116.45
836,836,0,33.95,116.55
837,837,0,34.05,110.65
838,838,0,34.05,110.75
839,839,0,34.05,110.85
840,840,0,34.05,110.95
841,841,0,34.05,111.05
842,842,0,34.05,111.15
843,843,0,34.05,111.25
844,844,0,34.05,111.35
845,845,0,34.05,111.45
846,846,0,34.05,111.55
847,847,0,34.05,111.65
848,848,0,34.05,111.75
849,849,0,34.05,111.85
850,850,0,34.05,111.95
851,851,0,34.05,112.05
852,852,0,34.05,112.15
853,853,0,34.05,112.25
854,854,0,34.05,112.35
855,855,0,34.05,112.45
856,856,0,34.05,112.55
857,857,0,34.05,112.65
858,858,0,34.05,112.75
859,859,0,34.05,112.85
860,860,0,34.05,112.95
861,861,0,34.05,113.05
862,862,0,34.05,113.15
863,863,0,34.05,113.25
864,864,0,34.05,113.35
865,865,0,34.05,113.45
866,866,0,34.05,113.55
867,867,0,34.05,113.65
868,868,0,34.05,113.75
869,869,0,34.05,113.85
870,870,0,34.05,113.95
871,871,0,34.05,114.05
872,872,0,34.05,114.15
873,873,0,34.05,114.25
874,874,0,34.05,114.35
875,875,0,34.05,114.45
876,876,0,34.05,114.55
877,877,0,34.05,114.65
878,878,0,34.05,114.75
879,879,0,34.05,114.85
880,880,0,34.05,114.95
881,881,0,34.05,115.05
882,882,0,34.05,115.15
883,883,0,34.05,115.25
884,884,0,34.05,115.35
885,885,0,34.05,115.45
886,886,0,34.05,115.55
887,887,0,34.05,115.85
888,888,0,34.05,115.95
889,889,0,34.05,116.05
890,890,0,34.05,116.15
891,891,0,34.05,116.25
892,892,0,34.05,116.35
893,893,0,34.05,116.45
894,894,0,34.05,116.55
895,895,0,34.15,110.65
896,896,0,34.15,110.75
897,897,0,34.15,110.85
898,898,0,34.15,110.95
899,899,0,34.15,111.05
900,900,0,34.15,111.15
901,901,0,34.15,111.25
902,902,0,34.15,111.35
903,903,0,34.15,111.45
904,904,0,34.15,111.55
905,905,0,34.15,111.65
906,906,0,34.15,111.75
907,907,0,34.15,111.85
908,908,0,34.15,111.95
909,909,0,34.15,112.05
910,910,0,34.15,112.15
911,911,0,34.15,112.25
912,912,0,34.15,112.35
913,913,0,34.15,112.45
914,914,0,34.15,112.55
915,915,0,34.15,112.65
916,916,0,34.15,112.75
917,917,0,34.15,112.85
918,918,0,34.15,112.95
919,919,0,34.15,113.05
920,920,0,34.15,113.15
921,921,0,34.15,113.25
922,922,0,34.15,113.35
923,923,0,34.15,113.45
924,924,0,34.15,113.55
925,925,0,34.15,113.65
926,926,0,34.15,113.75
927,927,0,34.15,113.85
928,928,0,34.15,113.95
929,929,0,34.15,114.05
930,930,0,34.15,114.15
931,931,0,34.15,114.25
932,932,0,34.15,114.35
933,933,0,34.15,114.45
934,934,0,34.15,114.55
935,935,0,34.15,114.65
936,936,0,34.15,114.75
937,937,0,34.15,114.85
938,938,0,34.15,114.95
939,939,0,34.15,115.05
940,940,0,34.15,115.15
941,941,0,34.15,115.25
942,942,0,34.15,115.35
943,943,0,34.15,115.45
944,944,0,34.15,115.55
945,945,0,34.15,115.65
946,946,0,34.15,115.75
947,947,0,34.15,115.85
948,948,0,34.15,115.95
949,949,0,34.15,116.05
950,950,0,34.15,116.15
951,951,0,34.15,116.25
952,952,0,34.15,116.35
953,953,0,34.15,116.45
954,954,0,34.25,110.45
955,955,0,34.25,110.55
956,956,0,34.25,110.65
957,957,0,34.25,110.75
958,958,0,34.25,110.85
959,959,0,34.25,110.95
960,960,0,34.25,111.05
961,961,0,34.25,111.15
962,962,0,34.25,111.25
963,963,0,34.25,111.35
964,964,0,34.25,111.45
965,965,0,34.25,111.55
966,966,0,34.25,111.65
967,967,0,34.25,111.75
968,968,0,34.25,111.85
969,969,0,34.25,111.95
970,970,0,34.25,112.05
971,971,0,34.25,112.15
972,972,0,34.25,112.25
973,973,0,34.25,112.35
974,974,0,34.25,112.45
975,975,0,34.25,112.55
976,976,0,34.25,112.65
977,977,0,34.25,112.75
978,978,0,34.25,112.85
979,979,0,34.25,112.95
980,980,0,34.25,113.05
981,981,0,34.25,113.15
982,982,0,34.25,113.25
983,983,0,34.25,113.35
984,984,0,34.25,113.45
985,985,0,34.25,113.55
986,986,0,34.25,113.65
987,987,0,34.25,113.75
988,988,0,34.25,113.85
989,989,0,34.25,113.95
990,990,0,34.25,114.05
991,991,0,34.25,114.15
992,992,0,34.25,114.25
993,993,0,34.25,114.35
